id	uid	ts
1	466	2017-01-07 18:24:55
2	458	2017-01-07 18:25:18
3	458	2017-01-07 18:26:21
4	592	2017-01-07 19:09:59
5	393	2017-01-08 00:41:19
6	592	2017-01-08 09:14:27
7	592	2017-01-08 11:18:08
8	636	2017-01-08 11:27:24
9	458	2017-01-09 11:13:12
10	458	2017-01-09 11:34:02
11	413	2017-01-09 12:29:25
12	413	2017-01-09 12:40:39
13	592	2017-01-09 12:47:22
14	413	2017-01-09 14:08:04
15	500	2017-01-09 14:33:42
16	585	2017-01-09 15:35:26
17	492	2017-01-09 15:47:49
18	470	2017-01-09 16:11:26
19	393	2017-01-09 16:22:48
20	592	2017-01-09 16:31:07
21	592	2017-01-09 17:03:37
22	592	2017-01-09 20:06:54
23	639	2017-01-09 20:16:20
24	592	2017-01-10 10:55:06
25	458	2017-01-10 12:14:11
26	458	2017-01-10 12:33:53
27	462	2017-01-10 12:34:59
28	462	2017-01-10 12:38:11
29	462	2017-01-10 12:38:47
30	462	2017-01-10 12:49:20
31	458	2017-01-10 12:50:25
32	592	2017-01-10 13:03:28
33	413	2017-01-10 14:36:23
34	640	2017-01-10 15:14:35
35	413	2017-01-10 15:22:45
36	458	2017-01-10 15:33:51
37	492	2017-01-10 16:07:34
38	592	2017-01-10 17:27:58
39	470	2017-01-10 17:29:43
40	554	2017-01-10 17:37:47
41	470	2017-01-10 17:41:07
42	466	2017-01-10 19:12:47
43	592	2017-01-11 11:33:57
44	458	2017-01-11 11:43:44
45	478	2017-01-11 11:44:13
46	478	2017-01-11 11:51:12
47	500	2017-01-11 12:03:28
48	458	2017-01-11 12:03:35
49	500	2017-01-11 12:11:34
50	458	2017-01-11 12:15:33
51	500	2017-01-11 12:18:55
52	458	2017-01-11 12:28:29
53	528	2017-01-11 13:46:09
54	470	2017-01-11 14:48:52
55	500	2017-01-11 15:00:40
56	500	2017-01-11 15:05:27
57	470	2017-01-11 15:14:38
58	458	2017-01-11 15:15:52
59	500	2017-01-11 15:33:35
60	413	2017-01-11 15:40:45
61	500	2017-01-11 15:43:44
62	458	2017-01-11 15:56:44
63	450	2017-01-11 16:22:00
64	470	2017-01-11 17:12:28
65	500	2017-01-11 17:20:47
66	470	2017-01-12 07:20:13
67	450	2017-01-12 10:21:34
68	500	2017-01-12 10:41:22
69	640	2017-01-12 11:49:54
70	592	2017-01-12 12:34:17
71	478	2017-01-12 14:30:56
72	458	2017-01-12 15:00:02
73	592	2017-01-12 15:08:26
74	470	2017-01-12 15:22:59
75	536	2017-01-12 15:57:01
76	511	2017-01-12 18:48:42
77	393	2017-01-12 18:52:14
78	592	2017-01-13 11:01:21
79	450	2017-01-13 11:16:38
80	450	2017-01-13 11:59:42
81	458	2017-01-13 12:03:58
82	450	2017-01-13 12:04:25
83	500	2017-01-13 12:17:52
84	458	2017-01-13 12:49:54
85	635	2017-01-13 13:06:43
86	492	2017-01-13 13:38:47
87	500	2017-01-13 13:55:59
88	635	2017-01-13 13:57:08
89	470	2017-01-13 14:02:52
90	450	2017-01-13 15:04:56
91	635	2017-01-13 17:39:20
92	485	2017-01-13 17:41:59
93	458	2017-01-14 10:40:12
94	413	2017-01-14 11:57:18
95	450	2017-01-14 14:05:01
96	393	2017-01-14 17:22:19
97	470	2017-01-15 07:05:16
98	470	2017-01-15 07:35:57
99	450	2017-01-15 11:59:37
100	592	2017-01-15 21:11:43
101	393	2017-01-15 23:47:12
102	541	2017-01-16 10:24:46
103	450	2017-01-16 11:08:25
104	458	2017-01-16 11:21:17
105	413	2017-01-16 11:57:55
106	492	2017-01-16 12:06:31
107	474	2017-01-16 12:55:51
108	592	2017-01-16 13:11:32
109	500	2017-01-16 13:14:01
110	500	2017-01-16 14:24:55
111	466	2017-01-16 15:21:20
112	458	2017-01-16 16:32:19
113	635	2017-01-16 17:51:14
114	393	2017-01-16 18:30:13
115	458	2017-01-17 11:17:36
116	643	2017-01-17 11:18:42
117	458	2017-01-17 11:23:49
118	470	2017-01-17 13:58:26
119	592	2017-01-17 14:05:24
120	466	2017-01-17 14:06:57
121	458	2017-01-17 15:31:15
122	450	2017-01-17 15:34:06
123	450	2017-01-17 17:41:30
124	500	2017-01-17 17:43:39
125	466	2017-01-17 17:47:23
126	450	2017-01-17 17:59:20
127	500	2017-01-17 18:09:54
128	458	2017-01-17 18:46:10
129	450	2017-01-18 10:53:40
130	458	2017-01-18 11:31:35
131	478	2017-01-18 11:34:44
132	500	2017-01-18 12:02:56
133	458	2017-01-18 12:11:36
134	500	2017-01-18 12:12:08
135	644	2017-01-18 12:14:12
136	458	2017-01-18 12:17:55
137	466	2017-01-18 12:22:03
138	500	2017-01-18 12:38:17
139	458	2017-01-18 12:53:02
140	585	2017-01-18 13:30:06
141	640	2017-01-18 15:53:03
142	592	2017-01-18 18:00:12
143	645	2017-01-18 18:02:41
144	393	2017-01-18 18:38:59
145	646	2017-01-19 11:52:16
146	592	2017-01-19 11:58:14
147	458	2017-01-19 12:03:39
148	492	2017-01-19 12:04:15
149	580	2017-01-19 12:47:03
150	458	2017-01-19 13:00:24
151	642	2017-01-19 13:05:19
152	450	2017-01-19 17:09:35
153	393	2017-01-20 01:47:26
154	571	2017-01-20 12:44:59
