ID,交通设施服务,住宿服务,公司企业,医疗保健服务,商务住宅,生活服务,科教文化服务,类型,购物服务,风景名胜,餐饮服务
1,85,94,1147,12,88,426,650,学校,472,0,0
2,0,45,1968,74,0,0,330,学校,147,5,43
3,165,14,130,23,53,131,511,学校,103,39,86
4,66,25,534,0,95,205,461,学校,437,14,128
5,255,88,0,43,111,281,437,学校,1679,17,184
6,274,113,0,108,0,928,283,学校,220,47,200
7,619,21,327,0,174,370,443,学校,743,63,232
8,260,47,654,38,105,180,557,学校,305,59,243
9,158,0,0,141,420,421,414,学校,1564,0,301
10,221,54,438,57,487,417,536,学校,569,8,439
11,392,85,2489,98,458,258,520,学校,1661,2,475
12,245,9,899,47,28,689,241,学校,1610,26,537
13,0,145,0,141,589,604,929,学校,500,83,660
14,293,234,1864,142,407,1199,428,商场,1528,0,702
15,264,94,451,119,116,1072,379,商场,1409,0,720
16,119,188,3027,176,58,820,275,商场,1059,0,750
17,517,209,2088,144,419,970,880,学校,1661,13,730
18,274,168,996,116,457,1043,338,商场,1479,0,725
19,459,229,0,159,442,1097,326,商场,3275,0,1020
20,478,254,0,195,0,1556,253,商场,1164,19,1043
21,815,165,702,134,540,1160,329,商场,1921,29,1090
22,364,141,0,213,732,1196,315,商场,3110,0,1128
23,455,171,2772,158,469,1309,604,写字楼,2348,12,1167
24,365,212,2333,134,438,1333,525,写字楼,1953,0,1184
25,263,181,3135,175,336,1185,347,写字楼,1612,0,1204
26,354,169,1735,104,441,1272,420,写字楼,1917,3,1227
27,463,208,167,155,448,1293,407,写字楼,3224,5,1241
28,474,224,984,198,285,1471,321,写字楼,1689,28,1246
29,445,261,1012,176,587,1109,363,商场,1478,6,1247
30,673,167,1532,125,477,1317,410,写字楼,2239,40,1254
31,407,151,837,220,532,1331,394,写字楼,3104,0,1261
32,397,271,1092,102,342,1120,417,写字楼,923,2,1283
33,542,206,3643,191,607,1287,453,写字楼,3206,0,1318
34,457,159,2091,157,410,1405,298,写字楼,3152,12,1334
35,573,185,1746,168,471,1298,468,写字楼,1917,37,1335
36,280,244,571,219,299,1382,681,写字楼,1983,55,1366
37,594,226,3766,190,286,1080,366,商场,3250,0,1441
38,450,153,1512,161,313,1386,233,商场,3176,6,1531
39,567,193,2804,162,513,1562,514,商场,3183,28,1667
40,148,284,0,213,301,1325,561,商场,1569,41,1710
